text,label
"9gag , inc 's and the site 's collective liability under this agreement shall be limited to three hundred u.s. dollars . 
",0
"either party may terminate the services at any time by notifying the other party by any means . 
",1
"9gag , inc may also terminate or suspend any and all services and access to the site immediately , without prior notice or liability , if subscriber breaches any of the terms or conditions of this agreement . 
",1
"9gag , inc shall not be liable for any failure to perform its obligations hereunder where such failure results from any cause beyond 9gag , inc 's reasonable control , including , without limitation , mechanical , electronic or communications failure or degradation . 
",0
"9gag has discretion , however , to terminate the account of any user after receipt of a single notification of claimed infringement or upon 9gag 's own determination . 
",1
"booking.com disclaims any liability or responsibility for any communication with the supplier on or through its platform . 
",0
"we are not responsible or liable for ( and have no obligation to verify ) any wrong or misspelled email address or inaccurate or wrong ( mobile ) phone number or credit card number . 
",0
"subject to the limitations set out in these terms and conditions and to the extent permitted by law , we shall only be liable for direct damages actually suffered , paid or incurred by you due to an attributable shortcoming of our obligations in respect to our services , up to an aggregate amount of the aggregate cost of your reservation as set out in the confirmation email ( whether for one event or series of connected events ) . 
",0
"however and to the extent permitted by law , neither we nor any of our officers , directors , employees , representatives , subsidiaries , affiliated companies , distributors , affiliate ( distribution ) partners , licensees , agents or others involved in creating , sponsoring , promoting , or otherwise making available the site and its contents shall be liable for ( i ) any punitive , special , indirect or consequential loss or damages , any loss of production , loss of profit , loss of revenue , loss of contract , loss of or damage to goodwill or reputation , loss of claim , ( ii ) any inaccuracy relating to the ( descriptive ) information ( including rates , availability and ratings ) of the supplier as made available on our platform , ( iii ) the services rendered or the products offered by the supplier or other business partners , ( iv ) any ( direct , indirect , consequential or punitive ) damages , losses or costs suffered , incurred or paid by you , pursuant to , arising out of or in connection with the use , inability to use or delay of our platform , or ( v ) any ( personal ) injury , death , property damage , or other ( direct , indirect , special , consequential or punitive ) damages , losses or costs suffered , incurred or paid by you , whether due to ( legal ) acts , errors , breaches , ( gross ) negligence , willful misconduct , omissions , non-performance , misrepresentations , tort or strict liability by or ( wholly or partly ) attributable to the supplier or any of our other business partners ( including any of their employees , directors , officers , agents , representatives or affiliated companies ) whose products or service are ( directly or indirectly ) made available , offered or promoted on or through the platform , including any ( partial ) cancellation , overbooking , strike , force majeure or any other event beyond our control . 
",0
"5.5 as part of this continuing innovation , you acknowledge and agree that youtube may stop ( permanently or temporarily ) providing the service ( or any features within the service ) to you or to users generally at youtube 's sole discretion , without prior notice to you . 
",1
"5.6 you agree that you are solely responsible for ( and that youtube has no responsibility to you or to any third party for ) any breach of your obligations under the terms and for the consequences ( including any loss or damage which youtube may suffer ) of any such breach . 
",0
"6.2 as part of youtube 's copyright policy , youtube will terminate user access to the / service if a user has been determined to be a repeat infringer . 
",1
"11.3 youtube may at any time terminate its legal agreement with you if : a.you have breached any provision of the terms ( or have acted in manner which clearly shows that you do not intend to , or are unable to comply with the provisions of the terms ) ; or b. youtube is required to do so by law ( for example , where the provision of the service to you is , or becomes , unlawful ) ; or 
",1
"11.4 youtube may terminate its legal agreement with you if : youtube is transitioning to no longer providing the service to users in the country in which you are resident or from which you use the service ; or the provision of the service to you by youtube is , in youtube 's opinion , no longer commercially viable and in the case of each of a and b of this clause 11.4 shall , where possible , give reasonable notice of such termination . 
",1
"13.2 subject to the overall provision in paragraph 13.1 above youtube shall not be liable to you for : a. any indirect or consequential losses which may be incurred by you . 
",0
"this shall include ; ( i ) any loss of profit ( whether incurred directly or indirectly ) ; ( ii ) any loss of goodwill or business reputation ; ( iii ) any loss of opportunity ; or ( iv ) any loss of data suffered by you ; b.any loss or damage which may be incurred by you as a result of : i.any reliance placed by you on the completeness , accuracy or existence of any advertising , or as a result of any relationship or transaction between you and any advertiser or sponsor whose advertising appears on the service ; ii . 
",0
"any changes which youtube may make to the service , or for any permanent or temporary cessation in the provision of the service ( or any features within the service ) ; iii . 
",0
"the deletion of , corruption of , or failure to store , any content and other communications data maintained or transmitted by or through your use of the service ; iv . 
",0
"your failure to provide youtube with accurate account information ; v. your failure to keep your password or youtube account details secure and confidential . 
",0
"13.3 the limitations on youtube 's liability to you in paragraph 13.2 above shall apply whether or not youtube has been advised of or should have been aware of the possibility of any such losses arising . 
",0
"under no circumstances will yahoo be liable in any way for any content , including , but not limited to , any errors or omissions in any content , or any loss or damage of any kind incurred as a result of the use of any content posted , emailed , transmitted or otherwise made available via the yahoo services . 
",0
"you agree that yahoo has no responsibility or liability for the deletion or failure to store any messages and other communications or other content maintained or transmitted by the yahoo services . 
",0
"you acknowledge that yahoo reserves the right to log off accounts that are inactive for an extended period of time . 
",1
"you agree that yahoo shall not be liable to you or to any third party for any modification , suspension or discontinuance of the yahoo services ( or any part thereof ) . 
",0
"you agree that yahoo may , without prior notice , immediately terminate , limit your access to or suspend your yahoo account , any associated email address , and access to the yahoo services . 
",1
"cause for such termination , limitation of access or suspension shall include , but not be limited to , ( a ) breaches or violations of the tos or other incorporated agreements or guidelines , ( b ) requests by law enforcement or other government agencies , ( c ) discontinuance or material modification to the yahoo services ( or any part thereof ) , ( d ) unexpected technical or security issues or problems , ( e ) extended periods of inactivity , ( f ) engagement by you in fraudulent or illegal activities , and/or ( g ) nonpayment of any fees owed by you in connection with the yahoo services . 
",1
"further , you agree that all terminations , limitations of access and suspensions for cause shall be made in yahoo 's sole discretion and that yahoo shall not be liable to you or any third party for any termination of your account , any associated email address , or access to the yahoo services . 
",0
"you further acknowledge and agree that yahoo shall not be responsible or liable , directly or indirectly , for any damage or loss caused or alleged to be caused by or in connection with use of or reliance on any such content , goods or services available on or through any such site or resource . 
",0
"you expressly understand and agree that yahoo and its subsidiaries , affiliates , officers , employees , agents , partners and licensors shall not be liable to you for any punitive , indirect , incidental , special , consequential or exemplary damages , including , but not limited to , damages for loss of profits , goodwill , use , data or other intangible losses ( even if yahoo has been advised of the possibility of such damages ) , resulting from : ( a ) the use or the inability to use the yahoo service ; ( b ) the cost of procurement of substitute goods and services ; ( c ) unauthorized access to or alteration of your transmissions or data ; ( d ) statements or conduct of any third party on the yahoo service ; or ( e ) any other matter relating to the yahoo service . 
",0
"yahoo may , in appropriate circumstances and at its discretion , disable and/or terminate the accounts of users who may be repeat infringers . 
",1
"notwithstanding any other remedies available to truecaller , you agree that truecaller may suspend or terminate your use of the services without notice if you use the services or the content in any prohibited manner , and that such use will be deemed a material breach of these terms . 
",1
"any such unmoderated content will not be covered by constitutional protection under the swedish fundamental law on freedom of expression as per the paragraph above and truecaller will not be liable for the publication of such content . 
",0
"you are solely liable for any content that you post or communicate directly in or on the services and you agree to only post or communicate content that : 
",0
"such third party content , websites and services may be subject to the respective third party terms and conditions and truecaller will not be liable for any such third party content , websites or services . 
",0
"you understand and acknowledge that the services may be unavailable from time to time and that truecaller will not be liable for your inability to use the services for whatever reason . 
",0
"to the maximum extent permitted by applicable law , you expressly agree that truecaller shall in no event be liable for any direct , indirect , special , incidental , consequential or exemplary damages , including but not limited to damages for loss of profits , data and goodwill , arising out of the use or inability to use the services or the content , even if advised of the possibility of such damages . 
",0
"in particular , and without limitation , truecaller shall have no liability for any information stored or processed within the services , including the costs of recovering such information . 
",0
"truecaller shall not be liable for the validity , reliability or correctness of the content and information provided through and in connection with use of the services . 
",0
"any use of the content and information obtained through the use of the services shall be at your own discretion and risk . 
",0
"failure to pay these fees may result in suspension or termination of your service or subscription . 
",1
"truecaller may terminate the terms and your use of the services at any time with thirty ( 30 ) days ' advance notice . 
",1
"these terms will automatically terminate if you fail to comply with them . 
",1
"you will not be entitled to claim damages for such suspension or limitation of the use of any software , product or skype website . 
",0
"skype will have no liability for your failed emergency call in such circumstances . 
",0
"skype takes no responsibility for any disruption , interruption or delay caused by any failure of or inadequacy in any of these items or any other items over which we have no control . 
",0
"skype takes no responsibility for your failure to comply with the obligations in this paragraph 6.1 . 
",0
"11.2 skype may terminate its relationship with you , or may terminate or suspend your use of the software , user account ( s ) , products or skype websites at any time and without recourse to the courts : ( a ) if you are in breach of these terms ; ( b ) if skype reasonably suspects that you are using the software , the products and/or skype websites to break the law or infringe third party rights ; ( c ) if skype reasonably suspects that you are trying to unfairly exploit or misuse the refund policy , or any of our policies ; ( d ) if skype reasonably suspects that you are using our products , software and/or skype websites fraudulently or that your user account is being used by a third party fraudulently ; ( e ) if you have purchased skype credit from an unauthorised reseller ; ( f ) in respect of a particular product , on thirty ( 30 ) days notice if skype decides to cease offering that product ; ( g ) immediately , if required due to a change in laws/regulation by a regulator or authority with a lawful mandate , or by any of skype 's partners ; ( h ) on thirty ( 30 ) days notice if skype decides to cease offering the software to users in your jurisdiction generally . 
",1
"we reserve the right to cancel user accounts that have been inactive for more than one ( 1 ) year . 
",1
"12.4 no liability : you acknowledge and agree that skype will have no liability whatsoever , whether in contract , tort ( including negligence ) or any other theory of liability , and whether or not the possibility of such damages or losses has been notified to skype , in connection with or arising from your use of skype websites , or the internet communications software or other software that is provided free of charge . 
",0
"( a ) any indirect , special , incidental or consequential damages ; or 
",0
"( b ) any loss of income , business , actual or anticipated profits , opportunity , goodwill or reputation ( whether direct or indirect ) ; or 
",0
"( c ) any damage to or corruption of data ( whether direct or indirect ) ; 
",0
"( d ) any claim , damage or loss ( whether direct or indirect ) arising from or relating to : 
",0
"( i ) your inability to use the software to contact emergency services ; 
",0
"( ii ) your failure to make additional arrangements to access emergency services in accordance with paragraph 5.5 above ; 
",0
"( iii ) the service limitations set out in paragraph 5.6 ; 
",0
"( iv ) your failure to provide accurate physical location information to an emergency services operative ; or 
",0
"( v ) conduct of third party emergency services operatives and calling centres to which you may be connected . 
",0
"( e ) any claim , damage or loss ( whether direct or indirect ) arising from or relating to : 
",0
"( i ) any product or service provided by a third party under their own terms of service , including without limitation , skype wifi ; 
",0
"12.6 subject to paragraphs 12.3 - 12.5 above , skype 's total liability to you under or in connection with these terms ( whether in contract , tort ( including negligence ) or any other theory of liability ) ) shall not exceed in aggregate the amount paid by you for the products in the 12 month period immediately prior to the date of the event giving rise to the relevant claim , subject to a maximum of five thousand euros in all cases . 
",0
"whilst skype takes no responsibility for such products or services , if you encounter any problems with payment for or download , use of installation of such products or services , skype will use commercially reasonable endeavours to assist or resolve the problems . 
",0
"skype is not responsible for such third party websites or the availability of such websites and does not endorse any content or material on such third party websites . 
",0
"18.8 you acknowledge and agree that if skype is unable to provide the software , products and/or skype websites as a result of a force majeure event , skype will not be in breach of any of its obligations towards you under these terms . 
",0
"the right to use the number and the cancellation of such right rest with the skype manager administrator at his/her sole discretion and not you . 
",1
"skype may at its option , terminate its relationship with you , or may suspend your subscription immediately if it determines you are using your subscription contrary to this fup or skype 's terms of use . 
",1
"skype may in its option , terminate its relationship with you , or suspend your account immediately if it determines you are using video messaging contrary to this fup or these terms . 
",1
"you may not offer any account for sale or trade , and any such offer : ( 1 ) is a violation of this agreement ; ( 2 ) may result in suspension or termination of the account at blizzard entertainment 's sole and absolute discretion ; and ( 3 ) will not be opposable to blizzard entertainment . 
",1
"unless otherwise stated herein , there are no refunds where the account is terminated prior to the end of a subscription period ; the service will be available for your use until such time that the then-current subscription period expires . 
",0
"without limiting the foregoing , blizzard entertainment retains the right to decline service to any user who violates the bnet tou , the terms of use and/or the eula . 
",1
"note that it is your responsibility to be aware of such notices , and you hereby acknowledge and agree that blizzard entertainment shall not be responsible for any damages which may arise from your failure to read and/or be aware of these publicly posted notices . 
",0
"blizzard entertainment reserves the right to terminate this agreement as follows : if you fail to comply with any terms contained in this agreement , blizzard entertainment will provide you with a warning of your non-compliance . 
",1
"in case of a serious violation of this agreement , blizzard entertainment will be entitled to immediately terminate this agreement without any prior warning . 
",1
"also , note that in the event that blizzard entertainment terminates this agreement for breach of these terms of use , any right to any and all payments you may have made for pre-purchased game access to world of warcraft are forfeit , and you agree and acknowledge that you are not entitled to any refund for any amounts which were pre-paid on your account prior to any termination of this agreement . 
",0
"without limiting the liability under article xvii .1 . 
",0
"above , blizzard entertainment is only liable for slight negligence in case of a breach of a material contractual obligation . 
",0
"if we at viber believe the details are not correct , current , or complete , we have the right prevent you from accessing our services , or any of its resources and to terminate or suspend your account . 
",1
"any use of the forums will be at your own risk and will be subject to the disclaimers and limitations on liability set out above . 
",0
"viber will not be liable for any loss that you may incur as a result of someone else using your user account , either with or without your knowledge . 
",0
"if you use a username and password that viber considers insecure , viber will be entitled to require this to be changed and/or terminate your user account . 
",1
"where permissible under the law , viber has the right to terminate your rights under our service without notice . 
",1
"the viber group disclaims all liability , whether based in contract , tort ( including negligence ) , strict liability , or otherwise , and does not accept any liability for any loss or damage ( direct , indirect , punitive , actual , consequential , incidental , special , exemplary , or otherwise ) resulting from any use of , or inability to use , the service or any other site , app or service , or the material , information , software , facilities , services , or other content on the service or any other site , app or service , regardless of the basis upon which liability is claimed and even if any member of the viber group has been advised of the possibility of such loss or damage . 
",0
"if applicable law does not allow all or any part of the above limitation of liability to apply to you , the limitations will apply to you only to the extent permitted by applicable law . 
",0
"in no event shall our total liability to you for all damages ( other than as may be required by applicable law in cases involving personal injury ) exceed the amount of fifty dollars ( $ 50.00 ) . 
",0
": if you violate these terms , we may stop providing services to you or we may close your microsoft account or skype account . 
",1
"if we reasonably suspect that your microsoft account or skype account is being used by a third party fraudulently ( for example , as a result of an account compromise ) , microsoft may suspend your account until you can reclaim ownership . 
",1
"we strive to keep the services up and running ; however , all online services suffer occasional disruptions and outages , and microsoft is not liable for any disruption or loss you may suffer as a result . 
",0
"if you have any basis for recovering damages ( including breach of these terms ) , you agree that your exclusive remedy is to recover , from microsoft or any affiliates , resellers , distributors , third-party apps and services providers , and vendors , direct damages up to an amount equal to your services fee for the month during which the breach occurred ( or up to $ 10.00 if the services are free ) . 
",0
"you ca n't recover any other damages or losses , including direct , consequential , lost profits , special , indirect , incidental , or punitive . 
",0
"these limitations and exclusions apply even if this remedy does n't fully compensate you for any losses or fails of its essential purpose or if we knew or should have known about the possibility of the damages . 
",0
"to the maximum extent permitted by law , these limitations and exclusions apply to anything or any claims related to these terms , the services , or the software related to the services . 
",0
"your program account will be cancelled if you do not log in at least once in a 180-day period . 
",1
"additionally , microsoft reserves the right to cancel the program account of a specific user without cause and without providing a reason . 
",1
"microsoft reserves the right to disqualify you ; disable your access to the program or your rewards account ; and/or withhold points , rewards and charitable contributions , if microsoft believes you are tampering with or abusing any aspect of the program or may be engaging in activities that violate these terms . 
",1
"microsoft is not responsible if a cortana communication management feature delays or prevents you from reviewing or sending a communication . 
",0
"in appropriate circumstances , microsoft may also disable or terminate accounts of users of microsoft services who may be repeat infringers . 
",1
"this remedy does n't fully compensate you for any losses ; or 
",0
"violation of these terms of use may , in instagram 's sole discretion , result in termination of your instagram account . 
",1
"if you violate the letter or spirit of these terms of use , or otherwise create risk or possible legal exposure for instagram , we can stop providing all or part of the service to you . 
",1
"you agree that instagram is not responsible or liable for the conduct of any user . 
",0
"you expressly acknowledge and agree that instagram is in no way responsible or liable for any such third-party services or features . 
",0
"instagram will not be liable to you for any modification , suspension , or discontinuation of the services , or the loss of any content . 
",0
"except as otherwise described in the service 's privacy policy , available at http://instagram.com/legal/privacy/ , as between you and instagram , any content will be non-confidential and non-proprietary and we will not be liable for any use or disclosure of content . 
",0
"none of your content will be subject to any obligation of confidence on the part of instagram , and instagram will not be liable for any use or disclosure of any content you provide . 
",0
"the instagram parties do not endorse content and specifically disclaim any responsibility or liability to any person or entity for any loss , damage ( whether actual , consequential , punitive or otherwise ) , injury , claim , liability or other cause of any kind or character based upon or resulting from any content . 
",0
"under no circumstances will the instagram parties be liable to you for any loss or damages of any kind ( including , without limitation , for any direct , indirect , economic , exemplary , special , punitive , incidental or consequential losses or damages ) that are directly or indirectly related to : ( a ) the service ; ( b ) the instagram content ; ( c ) user content ; ( d ) your use of , inability to use , or the performance of the service ; ( e ) any action taken in connection with an investigation by the instagram parties or law enforcement authorities regarding your or any other party 's use of the service ; ( f ) any action taken in connection with copyright or other intellectual property owners ; ( g ) any errors or omissions in the service 's operation ; or ( h ) any damage to any user 's computer , mobile device , or other equipment or technology including , without limitation , damage from any security breach or from any virus , bugs , tampering , fraud , error , omission , interruption , defect , delay in operation or transmission , computer line or network failure or any other technical or other malfunction , including , without limitation , damages for lost profits , loss of goodwill , loss of data , work stoppage , accuracy of results , or computer failure or malfunction , even if foreseeable or even if the instagram parties have been advised of or should have known of the possibility of such damages , whether in an action of contract , negligence , strict liability or tort ( including , without limitation , whether caused in whole or in part by negligence , acts of god , telecommunications failure , or theft or destruction of the service ) . 
",0
"in no event will the instagram parties be liable to you or anyone else for loss , damage or injury , including , without limitation , death or personal injury . 
",0
"in no event will the instagram parties total liability to you for all damages , losses or causes or action exceed one hundred united states dollars ( $ 100.00 ) . 
",0
"instagram is not responsible for the actions , content , information , or data of third parties , and you release us , our directors , officers , employees , and agents from any claims and damages , known and unknown , arising out of or in any way connected with any claim you have against any such third parties . 
",0
"rovio shall have no liability to you or any third party in the event that rovio exercises any such rights . 
",0
"subject to mandatory legislation , you acknowledge that rovio is not required to provide a refund for virtual goods for any reason , and that you will not receive money or other compensation for unused virtual goods , whether your loss of license under this eula was voluntary or involuntary . 
",0
"in no event will rovio , rovio 's affiliates , rovio 's licensors or channel partners be liable for special , incidental or consequential damages resulting from possession , access , use or malfunction of the rovio services , including but not limited to , damages to property , loss of goodwill , computer failure or malfunction and , to the extent permitted by law , damages for personal injuries , property damage , lost profits or punitive damages from any causes of action arising out of or related to this eula or the software , whether arising in tort ( including negligence ) , contract , strict liability or otherwise and whether or not rovio , rovio 's licensors or channel partners have been advised of the possibility of such damages . 
",0
"in no event shall rovio 's , rovio 's affiliates ' , rovio 's licensors ' or channel partners ' liability for all damages ( except as required by applicable law ) exceed the actual price paid by you for use of the rovio services or five euros ( eur 5 ) , whichever less . 
",0
"onavo may terminate this agreement , or terminate or suspend your access to any of the services at any time , with or without cause , with or without notice . 
",1
"upon such termination or suspension , your right to use the services will immediately cease . 
",1
"any unauthorized use of the services or other failure by you to comply with the terms of this agreement will be deemed a material breach of this agreement and will entitle onavo , without derogating from any other remedies available to it , to immediately suspend or terminate this agreement with no liability to you . 
",1
"in no event shall onavo be liable to anyone for any indirect , punitive , special , exemplary , incidental , consequential or other damages of any type or kind ( including loss of data , revenue , profits , use or other economic advantage ) arising out of , or in any way connected with the services , including but not limited to the use or inability to use the services , or for any content obtained from or through the services , any interruption , inaccuracy , error or omission , even if onavo has been previously advised of the possibility of such damages . 
",0
"insofar as the services utilize components or functions operated or managed by third parties , onavo will not be liable for any form of liability , including , but not limited to any direct or indirect damage , pecuniary or otherwise , arising from the use of , reliance on , or in connection with , such third parties ' components and functions . 
",0
"we will not be liable , directly or indirectly , for any damage or loss caused or alleged to be caused by or in connection with your use of or reliance on any such content , goods or services available on or through any third party websites , content or mobile application . 
",0
"in no event shall the licensor be liable for the removal or disabling of , or for imposing limits on , access to or use of the service . 
",0
"6.3 to the extent not prohibited by law , in no event shall the licensor be liable for personal injury , or any incidental , special , indirect , consequential or punitive damages whatsoever , including , without limitation : 
",0
"( f ) any other commercial damages or losses 
",0
"arising out of or related to the licensee 's use or inability to use the service , however caused , whether in contract , tort or otherwise and even if the licensor has been advised of the possibility of such damages . 
",0
"6.4 in no event shall the licensor 's total liability to the licensee for all damages exceed the amount of fifty euros ( $ 50.00 ) . 
",0
"the licensee 's rights under the license shall terminate automatically without notice from the licensor if the licensee fails to comply with any term or condition of these terms of use . 
",1
"we are entitled , without any liability , to refuse , restrict , limit , suspend and/or interfere or interrupt the service or any part thereof , without any notice to you for the repair , improvement , and/or upgrade of the service or for any of the reasons for termination as mentioned below . 
",1
"you hereby expressly agree , that to the fullest extent not prohibited by the applicable law , that : 
",0
"the company does not warrant , endorse and will not be liable to any damage or claim for any user submissions , including without limitation , its accuracy , engagement with commercial activity , spam , or any attempts to defraud or manipulate other users with deceptive means or misrepresentation . 
",0
"you hereby expressly agree , that to the fullest extent not prohibited by the applicable law , that the company shall not be liable , in any event , for : 
",0
"any direct , indirect , special , incidental , consequential or exemplary damages , under any theory of liability , including but not limited to contract , tort ( including negligence ) , damages for loss of data , profits and goodwill , arising out of the use , misuse or inability to use the service , or by any form of malware , whether or not the company was or should have been aware or advised of the possibility of such damages ; 
",0
"any information stored , processed or transmitted via the service , including user submissions ; 
",0
"the validity , correctness or accurateness of any content disseminated , provided or otherwise delivered in connection with your use of the service . 
",0
"if you repeatedly infringe third parties ' ip your access to the service may be restricted or blocked at the company 's sole discretion . 
",1
"we may suspend or stop providing our services to you if you do not comply with our terms or policies or if we are investigating suspected misconduct . 
",1
"and we may suspend or stop a service altogether . 
",1
"google may also stop providing services to you , or add or create new limits to our services at any time . 
",1
"when permitted by law , google , and google 's suppliers and distributors , will not be responsible for lost profits , revenues , or data , financial losses or indirect , special , consequential , exemplary , or punitive damages . 
",0
"to the extent permitted by law , the total liability of google , and its suppliers and distributors , for any claims under these terms , including for any implied warranties , is limited to the amount you paid us to use the services ( or , if we choose , to supplying you the services again ) . 
",0
"in all cases , google , and its suppliers and distributors , will not be liable for any loss or damage that is not reasonably foreseeable . 
",0
"if you repeatedly infringe other people 's intellectual property rights , we will disable your account when appropriate . 
",1
"if you violate the letter or spirit of this statement , or otherwise create risk or possible legal exposure for us , we can stop providing all or part of facebook to you . 
",1
"we will not be liable to you for any lost profits or other consequential , special , indirect , or incidental damages arising out of or in connection with this statement or facebook , even if we have been advised of the possibility of such damages . 
",0
"our aggregate liability arising out of this statement or facebook will not exceed the greater of one hundred dollars ( $ 100 ) or the amount you have paid us in the past twelve months . 
",0
"in such cases , facebook 's liability will be limited to the fullest extent permitted by applicable law . 
",0
"you acknowledge that all content accessed by you using the service is at your own risk and you will be solely responsible and liable for any damage or loss to you or any other party resulting therefrom . 
",0
"you understand that all information publicly posted or privately transmitted through the site is the sole responsibility of the person from which such content originated ; that vivino will not be liable for any errors or omissions in any content ; and that vivino can not guarantee the identity of any other users with whom you may interact in the course of using the service . 
",0
"vivino may terminate your access to all or any part of the service at any time , with or without cause , with or without notice , effective immediately , which may result in the forfeiture and destruction of all information associated with your membership . 
",1
"you release vivino from all liability for you having acquired or not acquired content through the service . 
",0
